ID,logID,byWho,comment,commentDate,deleted,response,responseDate
1,37,elsayed.a.1,the cahnge for 6 octeber site not for cairo.,2/16/2012,0,,
2,36,hassan.hy,Please have a look on the requirements mentioned in the follow up requirements part. It includes all the QA requirements for this change.. Also please try to provide more clarification data in the next change request to help in facilitating the role of the approvers and not to subject the request to be rejected. Please also add this flow meter to the maintenance and calibration plan,2/19/2012,0,,
3,39,elsisy.aa,NA,2/21/2012,0,,
4,51,elsisy.aa,NR,2/21/2012,0,,
5,50,elsisy.aa,NR,2/21/2012,0,,
6,49,elsisy.aa,NA,2/21/2012,0,,
7,40,elsisy.aa,NR,2/21/2012,0,,
8,51,sharafeldin.cm,i need to do Ergonomic study ,2/21/2012,-1,,
9,50,abdelmaksoud.mh,Need to know how you will fix and install this screen,2/21/2012,-1,,
10,49,abdelmaksoud.mh,You need to check if the new beam will hold the new weight (2 tons) or not. Please contact me if you need more clarification.,2/21/2012,0,We decided to design a new beam for the 2 tons crane and we will not modify the present beam, we are also checking with the assigned person (professor Metwally) if the desired spot to install the new beam is adquete,3/26/2012
11,52,bakr.hm,approve,2/21/2012,-1,,
12,40,hassan.hy,1- Please get official approval for MPD expert in such film and technology that this machine and this film can produce and not affecting on quality with this concerned speed.    2- In case of getting official approval, then we need to demonstrate on the line by issuing validation protocol and to be signed from QA, Operation and MPD before start.   3- The success criteria of this qualification should be not more that the current generated defect level 4- Adding this validation study to the PSG validation master plan before start.  5- Identify the new process centerline according to this speed and if there change update the PCS in PSG accordingly 6- Issue close out report and to be approved from same protocol approvers 7- Reassess end of line manual and automatic packing to ensure the number of contractors and line speed are fit for the manual packing process.,2/21/2012,0,,
13,55,mahmoud.a,I need as built drawing ( Autocad or invintor ) for layout, piping, equpment,  ,2/21/2012,0,,
14,39,mahmoud.a,I need as built drawing ( Autocad or invintor ) for layout, equpment,  ,2/21/2012,0,,
15,40,mahmoud.a,I need as built drawing ( Autocad or invintor ) for layout, equpment,  ,2/21/2012,0,,
