ID,approverID,requiredString,sortorder,hidden,isSubCat,type
1,13,(Process) Safety Studies done as per ORA requirements,10,N,N,
2,13,Process safety equipment tagged with numbered PS identification labels.,20,N,N,
3,13,Tanks, silo&#8217;s, pumps, pipes, valves, flexibles, etc&#8230; according law and P&G standard,30,N,N,
4,13,Material selection according P&G recommendations and when in doubt tested.,40,N,N,
5,13,Flexibles, couplings, flange connections compatible with product and pressure ,50,N,N,
6,13,Unloading flexibles have pull-away protection cables,60,N,N,
7,13,Compressed air filters and oilers have a protection cage,70,N,N,
8,13,Flange protection rings if the product is hazardous,80,N,N,
9,13,P&ID is as built and available + PS items numbered and marked up,90,N,N,
10,13,Double-block-and-bleed possibility available if required,100,N,N,
11,14,Environmental Impact assessment ,10,N,N,
12,14,Spill protection / dikes ,20,N,N,
13,14,Ventilation is adequate (natural convection preferred over forced ventilation),30,N,N,
14,14,Forced ventilation : air velocity is limited to 0.5 m/s,40,N,N,
15,14,Forced ventilation : fresh air supply > 30 m3 / u / employee,50,N,N,
16,14,Noise study ,60,N,N,
17,14,Solid waste impact study ,70,N,N,
18,14,Building permit complete,80,N,N,
19,14,Environmental permit complete.,90,N,N,
20,14,Air emission measurments,100,N,N,
21,15,All building permit and P&G regulations for fire protection obeyed :,10,N,N,
22,15,Pictograms and information in case of fire, &#8230;,20,N,N,
23,15,Fire hoses : 1 hose 30 m &#8211; fire extinguisher (6 kg) : 1 per 250 m2,30,N,N,
24,15,Testing of system by insurance (GAPP?) &#8211; City Fire Brigade visit / inspection,40,N,N,
25,15,Certificates of sprinklers, detection systems, fire doors, automatic extinguishers,50,N,N,
26,15,All new fire protections numbered, noted on plot plan + put on inspection list..,60,N,N,
27,15,Explosion hazard &#8211; chemical reaction,70,N,N,
28,16,Conformity statement with local electrical standard by approved inspection body.,10,N,N,
29,16,Circuit diagrams ok, as built, up-to-date and available,20,N,N,
30,16,Visual inspection equipotential connections and grounding OK.,30,N,N,
31,16,Signs and instructions/indications are as required,40,N,N,
32,19,New contractor qualification required,10,N,N,
33,19,Risk assessment / safety plan / methode of statment required,20,N,N,
34,19,Thermal safety study update required,30,N,N,
35,19,thermal safety inspection required before start up,40,N,N,
36,19,Pressure vessels technical documentation / design and inspection report required,50,N,N,
37,20,Hygiene inspection lists adapted,10,N,N,
38,20,Perform Enzyme CQV ,20,N,N,
39,20,PPE's ,30,N,N,
40,20,Dust control system balancing,40,N,N,
41,20,PVC with HEPA filter,50,N,N,
42,18,Flat, stable and vibration-free floor &#8211; no fall, trip or slip hazard,10,N,N,
43,18,Office : 300 /  drafting &#8211; machining : 500 / rest rooms- packing : 200,20,N,N,
44,18,Normal free passage width : 80 cm,30,N,N,
45,18,Emergency lighting is present (10 lux), and foreseen with a provision to test,40,N,N,
46,18,Stairs need railings if a fall of 1.2 m is possible.,50,N,N,
47,18,Railing height : 1 to 1.2 m &#8211; intermediate cross bar at 0.5 -0.6 m &#8211; pipe 1&frac14; &#8220;.,60,N,N,
48,18,JSA/JSP or SOP update required,70,N,N,
49,18,Training material update required,80,N,N,
50,18,CE certificate required,90,N,N,
51,18,Inspection program update,100,N,N,
52,18,Install SS/EWF,110,N,N,
53,18,Lable required,120,N,N,
54,14,waste water impact study,110,N,N,
55,20,CPK > 1.2,60,N,N,
56,20,Air volume Calibration,70,N,N,
57,20,Spill Elemination tours > 8,80,N,N,
58,20,JSA / JSP update,90,N,N,
59,20,BOS update,100,N,N,
60,20,Training required,110,N,N,
61,18,Training Required,130,N,N,
62,14,Chemical exposure assessment,120,N,N,
63,18,machine Risk assessment,140,N,N,
64,18,Design and construct requirement,150,N,N,
65,18,chemical clearance,160,N,N,
66,19,Training reuired,60,N,N,
67,19,JSA / JSP update,70,N,N,
68,19,SOP update,80,N,N,
69,19,Emergency preocedure update,90,N,N,
70,39,Issue and approve validation  protocol (IQ/OQ) before start,10,N,N,
71,39,Issue and approve validation  protocol (PQ/CQV) before start,20,N,N,
72,39,Issue and approve Validation summary report.,30,N,N,
73,39,Add this as item in the validation master plan and approve it before start,40,N,N,
74,39,Revise all concerned Sop&#8217;s and update the affected procedures,50,N,N,
75,39,Inform department QA Leader,60,N,N,
76,39,Isolate the project work area to prevent any spreading contaminant,70,N,N,
77,39,Maintain the premises area after work,80,N,N,
78,40,Issue and approve validation  protocol (IQ/OQ) before start,10,N,N,
79,40,Issue and approve validation  protocol (PQ/CQV) before start,20,N,N,
80,40,Issue and approve Validation summary report.,30,N,N,
81,40,Add this as item in the validation master plan and approve it before start,40,N,N,
82,40,Revise all concerned Sop&#8217;s and update the affected procedures,50,N,N,
83,40,Inform department QA Leader,60,N,N,
84,40,Isolate the project work area to prevent any spreading contaminant,70,N,N,
85,40,Maintain the premises area after work,80,N,N,
86,28,Issue and approve validation  protocol (IQ/OQ) before start.,10,N,N,
87,28,Issue and approve validation  protocol (PQ/CQV) before start,20,N,N,
88,28,Issue and approve Validation summary report,30,N,N,
89,28,Add this as item in the validation master plan and approve it before start.,40,N,N,
90,28,Revise all concerned Sop&#8217;s and update the affected procedures.,50,N,N,
91,28,Inform department QA Leader,60,N,N,
92,28,Isolate the project work area to prevent any spreading contaminant,70,N,N,
93,28,Maintain the premises area after work,80,N,N,
94,29,Issue and approve validation  protocol (IQ/OQ) before start.,10,N,N,
95,29,Issue and approve validation  protocol (PQ/CQV) before start,20,N,N,
96,29,Issue and approve Validation summary report.,30,N,N,
97,29,Add this as item in the validation master plan and approve it before start,40,N,N,
98,29,Revise all concerned Sop&#8217;s and update the affected procedures.,50,N,N,
99,29,Inform department QA Leader,60,N,N,
100,29,Isolate the project work area to prevent any spreading contaminant,70,N,N,
101,29,Maintain the premises area after work,80,N,N,
102,30,Issue and approve validation  protocol (IQ/OQ) before start,10,N,N,
103,30,Issue and approve validation  protocol (PQ/CQV) before start,20,N,N,
104,30,Issue and approve Validation summary report.,30,N,N,
105,30,Add this as item in the validation master plan and approve it before start.,40,N,N,
106,30,Revise all concerned Sop&#8217;s and update the affected procedures.,50,N,N,
107,30,Inform department QA Leader,60,N,N,
108,30,Isolate the project work area to prevent any spreading contaminant,70,N,N,
109,30,Maintain the premises area after work,80,N,N,
110,31,Issue and approve validation  protocol (IQ/OQ) before start.,10,N,N,
111,31,Issue and approve validation  protocol (PQ/CQV) before start,20,N,N,
112,31,Issue and approve Validation summary report,30,N,N,
113,31,Add this as item in the validation master plan and approve it before start.,40,N,N,
114,31,Revise all concerned Sop&#8217;s and update the affected procedures.,50,N,N,
115,31,Inform department QA Leader,60,N,N,
116,31,Isolate the project work area to prevent any spreading contaminant,70,N,N,
117,31,Maintain the premises area after work,80,N,N,
118,32,Issue and approve validation  protocol (IQ/OQ) before start,10,N,N,
119,32,Issue and approve validation  protocol (PQ/CQV) before start,20,N,N,
120,32,Issue and approve Validation summary report.,30,N,N,
121,32,Add this as item in the validation master plan and approve it before start,40,N,N,
122,32,Revise all concerned Sop&#8217;s and update the affected procedures,50,N,N,
123,32,Inform department QA Leader,60,N,N,
124,32,Isolate the project work area to prevent any spreading contaminant,70,N,N,
125,32,Maintain the premises area after work,80,N,N,
126,33,Issue and approve validation  protocol (IQ/OQ) before start,10,N,N,
